epoch,loss,time
1,4501825.146404206,00:56:29
2,299176.61210797756,01:52:58
3,178190.11500692987,02:49:25
4,3996583.80298499,03:45:51
5,19453932.827082116,04:42:18
6,61325871.22513715,05:38:45
7,48636437.50036656,06:35:12
8,45109680.994365,07:31:38
9,43907838.11907848,08:28:05
10,42187527.73015181,09:24:32
