epoch,loss
1,3.257014036178589
2,3.1289002895355225
3,3.0965768814086916
4,3.0116726875305178
5,2.9652435779571533
6,2.9393813610076904
7,2.9454240798950195
8,2.9409746170043944
9,2.938315486907959
10,2.9317108631134032
11,2.9226290702819826
12,2.9205298900604246
13,2.9208580493927
14,2.9187474727630613
15,2.9174922466278077
16,2.916698360443115
17,2.914305639266968
18,2.913571500778198
19,2.91186842918396
20,2.911831283569336
21,2.9107632637023926
22,2.9103540897369387
23,2.9095574855804442
24,2.9097249507904053
25,2.90901198387146
26,2.9092852592468263
27,2.9090057849884032
28,2.9094058513641357
29,2.908461809158325
30,2.9080672740936278
31,2.90932936668396
32,2.9086535930633546
33,2.9088251113891603
34,2.908537769317627
35,2.9085952758789064
36,2.908671188354492
37,2.90823712348938
38,2.908797359466553
39,2.90895619392395
40,2.9085920333862303
41,2.909120512008667
42,2.9087619304656984
43,2.908499526977539
44,2.908345413208008
45,2.9087950706481935
46,2.908108711242676
47,2.9089346885681153
48,2.9083704948425293
49,2.9086713790893555
50,2.9083130836486815
